Categorização Nivel 0;regiao;valor_estimado;p025;p975;valor_estimado_pct;p025_pct;p975_pct
Ação Cultural - Fomento Cultural;Centro-Oeste;51275422.23205111;46902518.78638023;55440953.77169301;82.69524996515196;75.64278061879155;89.41327698303758
Bolsa - Fomento Cultural;Centro-Oeste;436963.86468815076;163763.82434607507;794153.5153272036;0.704720399036293;0.26411270351437127;1.2807836698736477
Premiação - Fomento Cultural;Centro-Oeste;10292895.045356244;9255794.172881156;11352038.404886127;16.60002963581174;14.927428764769166;18.30817987724469
Ação Cultural - Fomento Cultural;Nordeste;206400018.5555471;197059361.0989047;215699311.11085033;75.68368481201871;72.25861062921139;79.09359112722049
Bolsa - Fomento Cultural;Nordeste;1384815.8698171272;1147574.207712075;1704936.6066549253;0.5077904960832874;0.4207976590443411;0.6251738040799522
Premiação - Fomento Cultural;Nordeste;64929184.54477239;62667903.46016748;67611799.01745851;23.808524691898008;22.979347998618984;24.792197802219444
Ação Cultural - Fomento Cultural;Norte;59897042.50080631;54685859.497739725;65736717.25650336;79.58832281511124;72.6639522989693;87.34780308636864
Bolsa - Fomento Cultural;Norte;624031.8663122905;473493.1915865951;785812.8510558713;0.8291836716697714;0.6291550869518132;1.0441504997722668
Premiação - Fomento Cultural;Norte;14737506.76915055;13709981.05922207;15826194.783324825;19.582493513218978;18.217166537325085;21.029090031166895
Ação Cultural - Fomento Cultural;Sudeste;283395194.0947249;273079235.8879111;294902304.6950373;80.72194421243744;77.78355915785559;83.99961567363479
Bolsa - Fomento Cultural;Sudeste;4396179.505221469;3801417.1975011337;5049926.391905481;1.25220245142807;1.0827910752866172;1.438414923677414
Premiação - Fomento Cultural;Sudeste;63284404.93792997;60636905.126572624;66158756.65532541;18.02585333613451;17.27174269301826;18.844580201703597
Ação Cultural - Fomento Cultural;Sul;106855129.32497622;102170572.64099942;111347114.43059379;77.94640559961687;74.52921488869511;81.22312329395469
Bolsa - Fomento Cultural;Sul;2584441.4371147044;2031679.3975823827;3201164.2622097544;1.885243336266434;1.4820262478062083;2.3351171773358885
Premiação - Fomento Cultural;Sul;27648378.968206134;25975876.20446455;29288602.65126366;20.1683510641167;18.948329343001156;21.36482652843319
Ação Cultural - Fomento Cultural;Todo o Brasil;707822806.7081057;693710807.2405211;723245122.6280926;78.80971098633465;77.23846661706656;80.52684732169342
Bolsa - Fomento Cultural;Todo o Brasil;9426432.543153742;8468570.331889633;10436177.767974349;1.0495485837947622;0.942899231274554;1.1619746437970362
Premiação - Fomento Cultural;Todo o Brasil;180892370.26541528;176833529.60836;184945237.63806775;20.140740429870583;19.688824984238405;20.59199080394394
